Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
PV214000.1,Influenza A virus,GenBank,,SRR32006058,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PV214001.1,Influenza A virus,GenBank,,SRR32006058,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PV214002.1,Influenza A virus,GenBank,,SRR32006058,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PV214003.1,Influenza A virus,GenBank,,SRR32006058,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PV214100.1,Influenza A virus,GenBank,,SRR31960198,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-038180-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Leptailurus serval,oronasopharynx,2024-12-13,SAMN46201399,PRJNA1102327,"Influenza A virus (A/Serval/WA/24-038180-001-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PV214101.1,Influenza A virus,GenBank,,SRR31960198,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-038180-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Leptailurus serval,oronasopharynx,2024-12-13,SAMN46201399,PRJNA1102327,"Influenza A virus (A/Serval/WA/24-038180-001-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV214102.1,Influenza A virus,GenBank,,SRR31960198,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-038180-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Leptailurus serval,oronasopharynx,2024-12-13,SAMN46201399,PRJNA1102327,"Influenza A virus (A/Serval/WA/24-038180-001-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV214103.1,Influenza A virus,GenBank,,SRR31960198,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-038180-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Leptailurus serval,oronasopharynx,2024-12-13,SAMN46201399,PRJNA1102327,"Influenza A virus (A/Serval/WA/24-038180-001-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PV214104.1,Influenza A virus,GenBank,,SRR31960198,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-038180-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Leptailurus serval,oronasopharynx,2024-12-13,SAMN46201399,PRJNA1102327,"Influenza A virus (A/Serval/WA/24-038180-001-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PV214105.1,Influenza A virus,GenBank,,SRR31960198,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-038180-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Leptailurus serval,oronasopharynx,2024-12-13,SAMN46201399,PRJNA1102327,"Influenza A virus (A/Serval/WA/24-038180-001-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PV214106.1,Influenza A virus,GenBank,,SRR31960198,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-038180-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Leptailurus serval,oronasopharynx,2024-12-13,SAMN46201399,PRJNA1102327,"Influenza A virus (A/Serval/WA/24-038180-001-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PV214107.1,Influenza A virus,GenBank,,SRR31960198,"Norris,C., Tod,S., Jessica,H., Matthew,A., Kerrie,F., Mary,K., Steven,L., Kris,L.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-03-04,24-038180-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Leptailurus serval,oronasopharynx,2024-12-13,SAMN46201399,PRJNA1102327,"Influenza A virus (A/Serval/WA/24-038180-001-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PV159660.1,Influenza A virus,GenBank,GCA_047940325.1,SRR32006059,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PV159661.1,Influenza A virus,GenBank,GCA_047940325.1,SRR32006059,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV159662.1,Influenza A virus,GenBank,GCA_047940325.1,SRR32006059,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV159663.1,Influenza A virus,GenBank,GCA_047940325.1,SRR32006059,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PV159664.1,Influenza A virus,GenBank,GCA_047940325.1,SRR32006059,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PV159665.1,Influenza A virus,GenBank,GCA_047940325.1,SRR32006059,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PV159666.1,Influenza A virus,GenBank,GCA_047940325.1,SRR32006059,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PV159667.1,Influenza A virus,GenBank,GCA_047940325.1,SRR32006059,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-002-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Puma concolor,brain,2024-12-05,SAMN46259096,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-002-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PV159668.1,Influenza A virus,GenBank,GCA_047940735.1,SRR32006058,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PV159669.1,Influenza A virus,GenBank,GCA_047940735.1,SRR32006058,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H5N1,2,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV159670.1,Influenza A virus,GenBank,GCA_047940735.1,SRR32006058,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H5N1,3,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV159671.1,Influenza A virus,GenBank,GCA_047940735.1,SRR32006058,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1704,partial,H5N1,4,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PV159672.1,Influenza A virus,GenBank,GCA_047940735.1,SRR32006058,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H5N1,5,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
PV159673.1,Influenza A virus,GenBank,GCA_047940735.1,SRR32006058,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
PV159674.1,Influenza A virus,GenBank,GCA_047940735.1,SRR32006058,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H5N1,7,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PV159675.1,Influenza A virus,GenBank,GCA_047940735.1,SRR32006058,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-037533-003-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),838,partial,H5N1,8,,USA: WA,USA,WA,Puma concolor,lung,2024-12-05,SAMN46259097,PRJNA1207547,"Influenza A virus (A/Mountain Lion/WA/24-037533-003-original/2024(H5N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
PV159772.1,Influenza A virus,GenBank,GCA_047941035.1,SRR31960198,"Aufderhar,M., Franzen,K., Killian,M.L., Lantz,K., Stuber,T., Hicks,J., Norris,C., Lakin,S.","USDA Animal Plant Health Inspection Service-National Veterinary Services Laboratories, National Veterinary Services Laboratories",USA,2025-02-21,24-038180-001-original,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H5N1,1,,USA: WA,USA,WA,Leptailurus serval,oronasopharynx,2024-12-13,SAMN46201399,PRJNA1102327,"Influenza A virus (A/Serval/WA/24-038180-001-original/2024(H5N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
